station,elevation,month,max_prcp,min_prcp,avg_prcp,max_tobs,min_tobs,avg_tobs
"HONOLULU OBSERVATORY 702.2, HI US",0.9,june,0.5,0,0.06918239,85,66,74.13939394
"HONOLULU OBSERVATORY 702.2, HI US",0.9,dec,4,0,1.278145695,81,57,69.68421053
"KANEOHE 838.1, HI US",14.6,june,4.4,0,0.931623932,83,68,74.05084746
"KANEOHE 838.1, HI US",14.6,dec,4.9,0,1.777777778,80,63,71.06944444
"KUALOA RANCH HEADQUARTERS 886.9, HI US",7,june,3.6,0,0.880239521,81,67,76.00537634
"KUALOA RANCH HEADQUARTERS 886.9, HI US",7,dec,2.5,0,1.285714286,79,62,73.2247191
"MANOA LYON ARBO 785.2, HI US",152.4,june,2.8,0,4.579439252,79,66,71.93721973
"MANOA LYON ARBO 785.2, HI US",152.4,dec,6.4,0,4.751269036,83,60,69.29126214
"PEARL CITY, HI US",11.9,june,1.7,0,0.443037975,82,64,76.65540541
"PEARL CITY, HI US",11.9,dec,2.8,0,1.327272727,82,64,71.83486239
"UPPER WAHIAWA 874.3, HI US",306.6,june,0.8,0,0.692307692,78,67,73.39473684
"UPPER WAHIAWA 874.3, HI US",306.6,dec,2.5,0.02,6.090909091,78,63,72.42105263
"WAIHEE 837.5, HI US",32.9,june,1.3,0,1.199152542,82,65,73.27118644
"WAIHEE 837.5, HI US",32.9,dec,3.1,0,2.147465438,79,58,69.90322581
"WAIKIKI 717.2, HI US",3,june,0.8,0,0.124463519,84,70,77.55932203
"WAIKIKI 717.2, HI US",3,dec,2,0,0.599033816,77,56,71.10952381
"WAIMANALO EXPERIMENTAL FARM, HI US",19.5,june,0.5,0,0.336283186,82,71,76.66810345
"WAIMANALO EXPERIMENTAL FARM, HI US",19.5,dec,4.9,0,1.357843137,79,56,72.43333333
